area_m2,lat,lon,price_usd
89.0,19.436264,-99.099608,109976.4705882353
60.0,19.422676,-99.097893,20588.235294117647
64.0,,,52065.41176470588
70.0,19.457685,-99.121754,36039.17647058824
136.0,19.382013,-99.188522,283508.82352941175
65.0,19.511198,-99.200576,43294.117647058825
85.0,,,164705.88235294117
120.0,19.3024064,-99.2018433,294117.64705882355
60.0,19.404918,-99.1978,29058.823529411766
78.0,19.396893,-99.152302,95882.35294117648
58.0,19.443178,-99.144234,47647.05882352941
75.0,19.397686,-99.161395,135490.17647058822
50.0,19.4555330491,-99.1633956134,89452.94117647059
70.0,19.448187,-99.161176,37941.17647058824
70.0,19.386821,-99.164805,174960.41176470587
67.0,19.461306,-99.127826,67058.82352941176
50.0,19.419427,-99.067675,49352.94117647059
70.0,19.384365,-99.156091,185882.35294117648
63.0,19.194247,-99.141976,57647.05882352941
94.0,19.3338880248,-99.151327014,146691.17647058822
67.0,19.474223,-99.18722,91176.4705882353
108.0,19.4032833,-99.1821858,379989.4117647059
78.0,19.3825040623,-99.1580399126,152941.17647058822
122.0,19.408697,-99.181012,229411.76470588235
75.0,19.489901,-99.192497,47811.76470588235
90.0,19.39177,-99.159996,104180.35294117648
64.0,19.385994,-99.106613,61764.705882352944
83.0,19.368808,-99.112954,129411.76470588235
50.0,19.404661,-99.133858,88235.29411764706
66.0,19.30241,-99.109299,52688.23529411765
60.0,19.455894,-99.18355,39607.82352941176
51.0,19.440935,-99.188522,233529.41176470587
120.0,19.41498,-99.177444,264705.8823529412
80.0,19.383948,-99.067884,28246.235294117647
121.0,19.368182,-99.176664,228529.41176470587
55.0,19.372684,-99.183678,158823.5294117647
50.0,19.422817,-99.058911,30687.647058823528
106.0,19.331932,-99.246689,302606.82352941175
60.0,19.2990233,-99.0436467,59605.882352941175
110.0,19.347664,-99.125001,95490.17647058824
58.0,19.492992,-99.149765,117647.05882352941
73.0,19.3596034,-99.1514055,168400.0
82.0,19.381729,-99.164986,158823.5294117647
101.0,19.39365,-99.14769,300070.5882352941
78.0,19.322523,-99.141464,167647.0588235294
66.0,19.446253,-99.157519,35882.35294117647
120.0,19.367931,-99.170262,134705.88235294117
61.0,19.364891,-99.148384,156894.11764705883
100.0,19.394358,-99.177444,194117.64705882352
53.0,19.383599,-99.190834,45294.117647058825
117.0,19.3503274,-99.2989735,300463.64705882355
74.0,19.383251,-99.105499,42470.58823529412
90.0,19.427118,-99.141954,51764.705882352944
62.0,19.39912,-99.141464,156442.9411764706
80.0,19.398983,-99.154034,67254.88235294117
90.0,19.387131,-99.147493,138235.29411764705
90.0,19.384371,-99.135965,100588.23529411765
75.0,19.39557,-99.132937,94323.5294117647
127.0,19.400249,-99.177444,116470.58823529411
64.0,19.383446,-99.137643,76531.17647058824
85.0,19.434723,-99.175887,147117.64705882352
70.0,19.382649,-99.143384,49352.94117647059
54.0,19.406759,-99.125172,37088.23529411765
60.0,19.49662,-99.185876,53176.470588235294
70.0,19.39617,-99.13791,51764.705882352944
121.0,19.394358,-99.177444,346841.35294117645
127.0,19.39177,-99.159996,194117.64705882352
65.0,19.370046,-99.146155,88235.29411764706
85.0,19.3618265,-99.1542053,214705.88235294117
110.0,19.308573,-99.07088,57800.58823529412
60.0,19.359901,-99.189606,52411.76470588235
89.0,19.417364,-99.159454,211764.70588235295
80.0,19.427754,-99.171109,88823.5294117647
85.0,19.396705,-99.181902,86564.70588235294
100.0,19.340202,-99.257774,176470.58823529413
57.0,19.298168,-99.113106,105294.11764705883
62.0,19.39912,-99.141464,143475.0588235294
70.0,19.369509,-99.172532,100588.23529411765
59.0,19.456595,-99.20456,44176.470588235294
50.0,19.4179232,-99.1483827,37058.82352941176
86.0,19.307754,-99.12497,36249.117647058825
97.0,19.3813197,-99.1996895,212217.64705882352
50.0,19.410307,-99.065399,48235.294117647056
80.0,19.461871,-99.129227,72411.76470588235
60.0,19.527836,-99.169827,38392.882352941175
79.0,19.3638234,-99.1444714,146764.70588235295
80.0,19.359897,-99.18956,52411.76470588235
70.0,19.445816,-99.170462,67037.35294117648
60.0,,,252941.17647058822
85.0,19.368544,-99.163605,214705.88235294117
60.0,19.444865,-99.156877,90829.5294117647
100.0,19.381729,-99.164986,182352.9411764706
62.0,19.377369,-99.198052,107647.05882352941
70.0,19.352333,-99.121169,69089.17647058824
59.0,19.456595,-99.20456,44176.470588235294
60.0,19.328833,-99.133163,119117.64705882352
76.0,19.4113101,-99.064722,56176.470588235294
110.0,19.443486,-99.211871,110588.23529411765
56.0,19.392349,-99.07093,50000.0
69.0,19.504602,-99.153096,38352.94117647059
55.0,19.384327,-99.215523,38431.41176470588
90.0,19.40099,-99.161174,134901.9411764706
98.0,19.407187,-99.172405,260629.41176470587
90.0,19.400959,-99.162199,134705.88235294117
50.0,19.439037,-99.119514,38764.705882352944
127.0,19.2990233,-99.0436467,92847.64705882352
118.0,19.381729,-99.164986,284009.17647058825
115.0,19.378233,-99.2054,111176.4705882353
70.0,19.445816,-99.170462,101470.58823529411
90.0,19.387651,-99.142257,44117.64705882353
60.0,19.464437,-99.175369,60941.17647058824
70.0,19.334546,-99.207876,84647.05882352941
60.0,19.3605334,-99.2267067,126764.70588235294
85.0,19.347664,-99.125001,95490.17647058824
117.0,19.3978,-99.175813,265094.1176470588
56.0,19.301945,-99.0495332,21176.470588235294
100.0,23.634501,-102.552788,88235.29411764706
60.0,19.29312,-99.052935,36580.23529411765
120.0,19.498335,-99.131701,208823.5294117647
80.0,19.36269,-99.150565,74117.64705882352
130.0,19.441733,-99.161653,107011.76470588235
54.0,19.324947,-99.083468,36745.117647058825
80.0,19.391834,-99.188695,80000.0
50.0,19.360367,-99.192614,86470.58823529411
70.0,19.388433,-99.175962,352352.9411764706
57.0,19.298168,-99.113106,105294.11764705883
52.0,19.469681,-99.086136,67647.05882352941
60.0,19.392025,-99.135302,40966.882352941175
60.0,19.301945,-99.049533,37882.35294117647
64.0,19.379134,-99.253631,170470.58823529413
70.0,19.415143,-99.14685,40705.882352941175
60.0,19.524143,-99.160149,38235.294117647056
70.0,19.393257,-99.157113,80000.0
95.0,19.39945,-99.164717,166470.58823529413
91.0,19.336195,-99.23692,101294.11764705883
80.0,19.410419,-99.194748,68411.76470588235
136.0,19.416616,-99.160027,144117.64705882352
60.0,19.479793,-99.100174,47477.64705882353
80.0,19.400785,-99.147419,59110.470588235294
90.0,19.434723,-99.175887,147117.64705882352
66.0,19.497521,-99.203979,61137.23529411765
59.0,19.45789,-99.20016,44176.470588235294
73.0,19.364891,-99.148384,150452.9411764706
90.0,19.260421,-99.120697,102941.17647058824
75.0,19.39942,-99.141673,68805.35294117648
90.0,19.395261,-99.153153,147450.9411764706
87.0,19.436516,-99.173988,293847.0588235294
51.0,19.400097,-99.122093,99941.17647058824
